Label	Tweet
1	RT @ncmbalta: Hırsızlığın,Resmi belgede sahteciliğin,zimmetin,rüşvetin yüz kızartacı suç olmakdan çıktığı ülkemizde suçluların belli olmasına rağmen  1,5 yıldır Cumhuriyet Savcılarının  karşısına çıkartılamıyorsa haktan,hukuktan,adaletten bahsetmek mümkün müdür?@memetsimsek @TC_BDDK @Akbank
1	RT @BaltaBanu: @ProfDemirtas •Resmi belgede sahtecilik •Nitelikli zimmet •Suç unsuru elde edilen paranın aklanması •Rüşvet •Cumhuriyet Savcılığına,Mali şubeye yazılı yalan beyan •Cumhuriyet Savcılığından ve Mahkemeden delil gizlemek •Suçları örtbas etmek suçluları korumak •Yargıya müdahale @akbank h
0	RT @Akbank: Size özel Hazır Limitli ve Gelir Belgesiz kredi kartı Axess'te! 👀  
0	RT @Akbank: Acil kredi ihtiyacınız için Ücretsiz Hızlı Para yanınızda! Başvurunu yap, 12 aya varan taksitle Hızlı Paranı al.   
1	@Akbank Önüne geleni borçlandırın önüne gelene kart verin Akbank bana kredi satmak için bana bireysel emeklilik satmak için bir daha arama
0	RT @Akbank: “Türkiye’yi çok seviyoruz çünkü gelişmekte olan piyasalardan biri ve inanılmaz hızlı büyüyor.” Mark Mobius 
1	@Akbank İşleminize devam edemiyoruz. En yakın şubeye başvurun dedi uygulama. O kadar reklamı boşuna yapıyorsunuz. Basit bir formu bile alamıyorsunuz.
1	@HALLKAHRAMAN4 @Akbank Yıllardır müşterisi olmama rağmen her defasında limit arttırımıma olumsuz yanıt 
1	@akbankdirekt en zor ve şifre alması en zor uygulama maalesef. Hafta sonu şifre bloke olursa asla şifre alamazsın . Maalesef en kötü banka uygulaması
1	@Akbank Akbank da ki hesaplarımız bu sahte sözleşmelerle boşaltıldı.İmzalar ve kaşe birbirinin aynı.Sahtecilik bu kadar açık iken Akbank tüm birimleri ile bu sahteciliğin arkasında duruyor.Hesaplardan paraların Gitmesi bu kadar kolay mı?@akbank #akbank #sahtecilik 
1	@AkbankDestek cumartesi bile işlem yaptırmayan , şifre değişikliğine izin vermeyen, kullanıcı dostu olmayan tek bankasınız. Akbank direkt şifresi güncellerken kullanıcı adı çıkartan tek banka. Kesinlikle çalışılmaz bu banka ile
1	@AkbankDestek Subat ayinda uyelik aidati alinacak diye kapattirmak istedigim karti biz onu zaten iade ediyoruz vs vs dil dokup kapatmami engelleyen, simdi iade istedigimde ise sistem tamaminin iadesine izin vermiyor  dediler. Gercekten durust hizmet anlayislari var.
0	RT @Akbank: CEF Kuruluşunun ikinci yılında yüzlerce öğrenci ve profesyoneli eğiterek dünyanın en önde gelen konuşmacılarını Türkiye’de ağırladı. CEF kalitenin sembolü, finans eğitiminin merkezi ve ülke tanıtımının öncüsü olmaya devam edecektir. Özgür Demirtaş 
0	RT @Akbank: “Kalite standardını sürdürerek Türkiye’ye değer katmak ve bölgeyi tüm dünyaya tanıtmak finans merkezimizin misyon ve vizyonları arasında yer alıyor.”  Zehra Sayers 
0	RT @Akbank: “Center of Excellence in Finance (CEF) kamu otoritesi, finans dünyası, akademisyenler ve öğrenciler arasında bir köprü kuruyor. Çünkü herkesin birbirinden alacağı çok şey var.” Özgür Demirtaş 
0	RT @Akbank: CEF 2018  Basliyor! #CEF2018 
1	@AxessCard 2007 yılından beri AXESS kullanıyordum lakin bünyeli 95 lira kart ücreti yansıttılar iade talebini de kabul etmediler ben de madem öyle ücreti ödedim ve kartımı komple kapattım , arkadaşlar bulaşmayın sakın.
1	@ProfDemirtas •Resmi belgede sahtecilik •Nitelikli zimmet •Suç unsuru elde edilen paranın aklanması •Rüşvet •Cumhuriyet Savcılığına,Mali şubeye yazılı yalan beyan •Cumhuriyet Savcılığından ve Mahkemeden delil gizlemek •Suçları örtbas etmek suçluları korumak •Yargıya müdahale @akbank 
1	@AkbankDestek Beni bir şekilde müşteri temsilcileri ile görüştürebilir misiniz? 444 25 25 deki yönlendirme yapan kadınla anlaşamıyorum, yanlış yerlere yönlendiriyorlar. 1 saattir aynı şey.
1	A R A M A Y I N. Kredi, yeni kredi kartı, limit vs. istemiyorum. 4442525 @Akbank @AkbankDestek
0	@AkbankDestek Yaa çok tatlısınız ❤️
1	Aklıma gelmişken yeni yeni benden konisyon almaya başlayan @Akbank’ı da kınıyorum. Ne güzel her yerden para çekebiliyor, istediğim hesaba para yollayabiliyordum. Şimdi niye komisyon alınmaya başladı ki?
0	Her dönem, reklamın iyisi kötüsü olmaz abi diyerek reklam üreten bazı reklamcılar var. Gerçekten iğrençsiniz. Sizin yaptığınız reklamlar ile Akbank'ın reklamlarını ortaya çıkartan o güzel insanların eserleri bir olabilir mi hiç? Reklamın iyisi kötüsü elbet olur.
1	@AkbankDestek Tesekkur ederim ama inanin su an millerimi harcamaya basladim cozum olmadigi surece vadesiz hesabim ile kk odemesi de yapip donmemek uzere akbank ile tum iliskimi kesmeyi planliyorum otomatik talimatlarim dahil...yardimci olmanizi rica ederim
1	Az önce 6 yıllık #axess kartımı iptal ettim sebebi 122.00 TL lik kart aidat ücreti. @Akbank extrelerinizi kontrol edin derim
1	2001 senesinden beri vadeli ve vadesiz hesaplari olan bir musterinize 124tl kart bedeli yansitan iade etmeyen, yahu bu kadar mi musteriniz degersiz dedigimde baska bankayla calisabilirsiniz diyen rezil banka @Akbank @AkbankDestek @akbankdirekt
1	@Akbank Modern çağın hırsızları.. Faiz oranlarını gene artırdılar aklı olan kullanmaz
1	@Akbank Çalışanları siktik sıra işsiz, güçsüz gençlerde!!! Yeni slogan hoşuma gitti...
0	RT @Akbank: Acil kredi ihtiyacınız için Ücretsiz Hızlı Para yanınızda! Başvurunu yap, 12 aya varan taksitle Hızlı Paranı al.    
1	@Akbank 13 dk 45 sn müşteri temsilcisi beklemek nedir ki bağlanamadan kapattım kapatmasam daha ne kadar bekleyecektim acaba??🙄🙄
1	Ayrıca 45 kuruş chip para nedir o hesaba yakışmamış
1	EYYY AKBANK, KÜLTÜR STRATEJİYİ, MÜŞTERİ BANKAYI KAHVALTIDA YER  
1	@Akbank Ücret alma başvurabiliriz bu zamanda kart üçretimi alinir😯
1	RT @heskici1: Biliyormusunuz bayram ikramiyesi almayan sadece akbank ve şekerbank emeklileri.yasal hakkını vermiyor suç isliyor bu bankalar.yaptiriminiz  olabilir mi bu kapatilistlere@RT_Erdogan
0	RT @Akbank: Size özel Hazır Limitli ve Gelir Belgesiz kredi kartı Axess'te! 👀   
0	RT @ArtfulLivingArt: @AkbankSanat 36. Günümüz Sanatçıları Ödülü Yarışması, disiplinlerarası pratikte üreten 18 sanatçıyı bir araya getiriyor. Yüreği Etkileyen Haklı Güç: Tutku” konusu çerçevesinde şekillenen sergi üzerine bir değerlendirme yayında. 
1	@Akbank @AkbankDestek @akbankdirekt @AkbankSanat @AkbankYatirimci  Sevgili #Akbank Bugünlerde yine çok sorumsuzsun. Bugün görüşme kayıtlarımızı dinleyip beni arayacaktın hani? Bütün gün bekledim ama yok! Akbank pişmanlıktır!
1	@Akbank Herşeyi Türkçe yazıp “brief vermek” nedemek yahu. Türkçe yazsaydınız yaptığımız kampın anlam ve değerini bozmasaydınız keşke
1	@BestepeCB Bayram ikramiyesi verilmesine dair kanundaki bosluktan yararlanan   #AKSANDIK emeklisine ikramiye vermedi.Aynı durumdaki pek cok banka, bunyesinden  kaynak aktarimi yaparak  emeklisine ödeme yapmışken #AKBANK emeklisini magdur etmıştır.Kanuna sandıkları ilave ediniz.
1	@enbeleksi Orada 45 kuruşluk bi chip para var ona talibim ben..
1	@Akbank oda yetmiyormuş gibi kredi kartı limiti fazla olup fazla harcayan iş adamlarına çektiğiniz kart ücretini iade ederken 750 tl limit olana iade etmiyorsunuz fakirden alıp zengine vermek nedir ya
1	@Akbank Yalan söylemeyin kartı alalı daha iki ay olmadı bu ay 106 lira kestiniz. Utanmadan birde reklam veriyorsunuz 👏🏻
1	@Akbank Gelen cevap işleme devam edemiyoruz en yakın şubeye 😀😀😀
1	@AkbankDestek hayırdır Osmaniye de protesto mu var? 2 saattir memlekette 4 dönüyorum para çekebilmek için. Bu nasıl bir sorumsuzluk?
1	@Akbank Bir gün bu ülkede kanunla korunan kredi kartı ve bireysel kredi tefeciliğine son vereceğiz 
1	@Akbank Mobilin değil Mobingin bankası sunar 
1	#akyatirim hafta sonu size özel yeni yalanlarınız ve saçmalıklarınızdan derlenen ses kayıtları (tape) çalışmaları geliyor. İzlemeye devam edin, zaten sadece izliyorsunuz...  @akyatirim @Akbank @AkbankYatirimci @BankalarBirligi @TC_BDDK @spkgovtr @KamuGozetimi @yigitbulutt
1	#akyatirim bu #skandal uygulamalara cevap vermeyerek üstünü kapatacağını mı sanıyor yoksa?  Vekalet istediniz verdik resmi ihtar çektik hep bildiğinizi okudunuz. Buraya kadar!!! @akyatirim @Akbank @AkbankYatirimci @BankalarBirligi @TC_BDDK @spkgovtr @KamuGozetimi @yigitbulutt
1	#akyatirim tutmakla yükümlü olduğu ses kayıtlarını tutmamış dert etmesin nasılsa hepsi var. Asıl dert milyarlarca dolar işlem yaptırdıktan sonra  keyfi vekalet istemekte !  @akyatirim @Akbank @AkbankYatirimci @BankalarBirligi @TC_BDDK @spkgovtr @KamuGozetimi @yigitbulutt
1	200 tl gıda harcamasına cip para vardi. Görünmüyor bugun 480 tl lik harcama yapmıştım  @AkbankDestek #AxessMobil
1	@Akbank Hırsızlığın,Resmi belgede sahteciliğin,zimmetin,rüşvetin yüz kızartacı suç olmakdan çıktığı ülkemizde suçluların belli olmasına rağmen  1,5 yıldır Cumhuriyet Savcılarının  karşısına çıkartılamıyorsa haktan,hukuktan,adaletten bahsetmek mümkün müdür?@memetsimsek @TC_BDDK @Akbank
1	@adalet_bakanlik @istbarosu @ProfDemirtas @BankalarBirligi @suzansabanci @spkgovtr #hsk #hsyk 
1	Hırsızlığın,Resmi belgede sahteciliğin,zimmetin,rüşvetin yüz kızartacı suç olmakdan çıktığı ülkemizde suçluların belli olmasına rağmen  1,5 yıldır Cumhuriyet Savcılarının  karşısına çıkartılamıyorsa haktan,hukuktan,adaletten bahsetmek mümkün müdür?@memetsimsek @TC_BDDK @Akbank
0	RT @iabturkiye: Akbank UniChallenge’da ‘challenge’ şimdi başlıyor  😬 Ekipler brieflerini aldı ve mentorlarıyla sunum hazırlıklarına başladı.  @Akbank   Öğleden önce ise @firatertem ile Mobil Arman Acar @rmncr ve Aşkım İrem Aktulga ile Influencer Marketing konuştuk. 
1	@akbankdirekt @Akbank Akbank size çok teşekkür ederim nasıl bir banka olduğunuzu tüm sosyal medyada ve gazete ilanlarinda paylasicam benden o kadar para kazandınız şu yaptığınıza bakın sizden kimsenin Kredi almamasını tavsiye edicem 
1	@AkbankDestek @Akbank Akbank size çok teşekkür ederim nasıl bir banka olduğunuzu tüm sosyal medyada ve gazete ilanlarinda paylasicam benden o kadar para kazandınız şu yaptığınıza bakın sizden kimsenin Kredi almamasını tavsiye edicem 
1	@Akbank Akbank size çok teşekkür ederim nasıl bir banka olduğunuzu tüm sosyal medyada ve gazete ilanlarinda paylasicam benden o kadar para kazandınız şu yaptığınıza bakın sizden kimsenin Kredi almamasını tavsiye edicem 
1	Tamam bu uyarı mesajı hoş güzel de acaba 12 haziran da düzenlediğiniz kredi kartımı ne zaman göndermeyi düşünüyorsunuz, ayrıca bu çalıştığınız kurye dağıtım şirketi de 5 para etmez muhatap bulamıyorsunuz karşınızda...Yakışmıyor koskoca @Akbank a @AkbankDestek 
0	Abbas Kiarostomi 13.Akbank Kısa Film Festivali’nde   13 – 23 Mart tarihleri içinde 37 ülkeden toplam #galeri  
1	@AkbankDestek AkbankDirekt’e giremiyorum, şifrem bloke oldu.tüö bildiler doğru ancak hala uygulama hata veriyor Web daha sonra deneyin diyor
1	@Akbank YıLLaRCa AkBaNKLa ÇaLıŞTıM TRiLYoNLaRCa GiRiŞ ÇıKıŞıM Var BaNa KReDi KaRTı BiLe VeRMeDiNiZ HeSaPLaRıMı iŞBaNKaSıNa ÇeKTiM DiYe HeMeN BeNi ÇeKiLiŞe SoKTuNuZ PLaYSTaTıoN KaZaNDıNıZ  DeMeNiZe RaĞMeN ReDDeTTiM  aKBaNKı 💪💪 Size BoRÇLaRıNı öDeMiYeNLeR LaZıM😉😉
0	Akbank UniChallenge’da ‘challenge’ şimdi başlıyor  😬 Ekipler brieflerini aldı ve mentorlarıyla sunum hazırlıklarına başladı.  @Akbank   Öğleden önce ise @firatertem ile Mobil Arman Acar @rmncr ve Aşkım İrem Aktulga ile Influencer Marketing konuştuk. 
0	RT @iabturkiye: Akbank UniChallenge’da ‘challenge’ şimdi başlıyor  😬 Ekipler brieflerini aldı ve mentorlarıyla sunum hazırlıklarına başladı.@Akbank   Öğleden önce ise @firatertem ile Mobil Arman Acar @rmncr ve Aşkım İpek Aktulga ile Influencer Marketing konuştuk. 
0	Akbank UniChallenge’da ‘challenge’ şimdi başlıyor  😬 Ekipler brieflerini aldı ve mentorlarıyla sunum hazırlıklarına başladı.@Akbank   Öğleden önce ise @firatertem ile Mobil Arman Acar @rmncr ve Aşkım İpek Aktulga ile Influencer Marketing konuştuk. 
1	@AkbankDestek Gültepede bulunan iki ATM para yatırılmaması  için işlem yapılmış hesabımdan kredi ödemem çekildiği için eksiye düştüm 2 gün atm den para yaptıramadım oluşan günlük faizinizi asla kabul etmiyorum
1	@Akbank neye istinaden vereceksiniz bunu? teminat olarak don lastiği kabul ediyorsanız başvurayim.
1	N’aptınız müşteri hizmetlerinde çalışan insanları mı kovdunuz ulaşamıyoruz bir türlü @Akbank @akbankdirekt @AkbankDestek
1	Akbank müşteri hizmetlerinde kullanılan yapay zekanın IQ ‘su 20 falan galiba bundan daha kötüsü olamaz @Akbank @akbankdirekt @AkbankDestek
1	@Akbank müşteri hizmetlerinde kimse yok galiba ,bağlamamak için ellerinden geleni yapıyolar,@AkbankDestek Akbank pişmanlıktır
1	@Akbank Amerikan başkanına bağlanmak Akbank müşteri hizmetlerine bağlanmaktan daha kolay,tamamen facia,içler acısı
1	Bir kerede musteri hizmetlerinden istedigim seyin cevabini alayim 😡😡 @AkbankDestek @akbankdirekt
0	RT @rmncr: Akbank Unichallenge+’ta katılımcı arkadaşlarımızla beraber #InfluencerMarketing konuştuk. Teknik detaylardan magazinsel boyutuna kadar her noktaya değinmeye çalıştık. Geçen seneye göre neredeyse 2 katına yakın bir katılım vardı.  @iabturkiye 
1	Yaklaşık 1 saattir aynı numarada bekliyor vezneler. Sakarya bulvar şubenizde çalışanlarınızın hiçbiri mi iş yapmayı bilmez? @Akbank @AkbankDestek
1	@AkbankDestek Mesela aramadılar bu mesajdan sonra.   Mesela müşteri hizmetlerine ulaşmanız imkansızdır
0	Akbank Unichallenge+’ta katılımcı arkadaşlarımızla beraber #InfluencerMarketing konuştuk. Teknik detaylardan magazinsel boyutuna kadar her noktaya değinmeye çalıştık. Geçen seneye göre neredeyse 2 katına yakın bir katılım vardı.  @iabturkiye 
0	RT @AkbankSanat: Romantik komedi ve dram türlerini başarı ile harmanlayan Uzun Lafın Kısası” isimli yapım Nordik Film Günleri kapsamında 28 Haziran Perşembe akşamı saat 19:00'da Akbank Sanat’ta. 
0	@AkbankSanat 36. Günümüz Sanatçıları Ödülü Yarışması, disiplinlerarası pratikte üreten 18 sanatçıyı bir araya getiriyor. Yüreği Etkileyen Haklı Güç: Tutku” konusu çerçevesinde şekillenen sergi üzerine bir değerlendirme yayında. 
